Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ)
33.4,30.2,29.4,28.1,26.6,48.4,1.9,0,0
33.5,30.2,29.5,28.1,26.6,48.7,1.7,0,0
33.6,30.2,29.4,28,26.5,48.2,1.9,0,0
33.7,30.2,29.4,28,26.5,47.9,1.9,-0.01,0
33.8,30.2,29.4,28,26.5,47.9,1.9,0.01,0
33.9,30.3,29.4,28,26.5,48.8,1.7,12.3,0
34,30.3,29.4,28,26.5,48.4,2.2,35.06,0
34.1,30.3,29.4,28.1,26.6,48.5,2,42.07,0
34.2,30.3,29.4,28.1,26.6,49.1,1.6,46.8,0
34.3,30.4,29.4,28,26.4,46.7,2.2,50.06,0
34.4,30.6,29.4,28,26.4,49.3,1.9,51.37,0
34.5,30.6,29.4,28,26.4,49.7,1.9,51.54,0
34.6,30.6,29.3,28,26.4,49.4,2.4,51.55,0
34.7,30.9,29.5,28.1,26.7,49.3,2.2,51.29,0
34.8,30.9,29.5,28.1,26.7,49.3,2.2,50.95,0
34.9,30.9,29.4,28.1,26.5,50.4,1.4,50.81,0
35,31.2,29.3,28,26.4,50.2,1.7,50.54,0
35.1,31.2,29.3,28,26.4,50.7,1.9,50.28,0
35.2,31.2,29.4,28,26.5,50.2,2.2,50.11,0
35.3,31.4,29.4,28,26.6,51.3,1.7,50.07,0
35.4,31.4,29.4,28,26.6,50.7,2,49.81,0
35.5,31.4,29.5,28.1,26.6,50.7,1.9,49.66,0
35.6,31.6,29.4,28,26.6,51,2.4,49.37,0
35.7,31.6,29.4,28,26.6,50.7,1.9,49.17,0
35.8,31.5,29.2,27.9,26.4,50.7,1.9,49.05,0
35.9,31.5,29.2,27.9,26.4,51.9,2.4,48.83,0
36,31.7,29.4,28,26.6,52.1,1.7,48.72,0
36.1,31.8,29.4,27.9,26.5,52.1,2.2,48.54,0
36.2,31.8,29.4,27.9,26.5,52.1,2.2,49.88,0
36.3,31.9,29.4,27.9,26.5,52.8,1.7,50.45,0
36.4,32.1,29.5,28,26.6,52.5,2,50.69,0
36.5,32.1,29.5,28,26.6,52.7,2.4,50.91,0
36.6,32.2,29.4,28,26.6,52.7,2,50.83,0
36.7,32.2,29.4,28.1,26.5,52.7,2,50.59,0
36.8,32.2,29.4,28.1,26.5,53.1,2.5,50.46,0
36.9,32.2,29.3,28,26.5,53.1,2.2,50.3,0
37,32.2,29.3,28,26.5,53.6,1.9,50.2,0
37.1,32.3,29.4,27.9,26.6,53.4,2.2,50.02,0
